layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 150, 150, 3]",67500,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 3]",67500,0
zero_padding2d_1,ZeroPadding2D,"[None, 150, 150, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 156, 156, 3]",73008,0
conv1/conv,Conv2D,"[None, 156, 156, 3]",73008,float32,64,"[7, 7]",linear,False,"[None, 75, 75, 64]",360000,9408
conv1/bn,BatchNormalization,"[None, 75, 75, 64]",360000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 64]",360000,256
conv1/relu,Activation,"[None, 75, 75, 64]",360000,float32,NaN,NaN,relu,NaN,"[None, 75, 75, 64]",360000,0
zero_padding2d_2,ZeroPadding2D,"[None, 75, 75, 64]",360000,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 64]",379456,0
pool1,MaxPooling2D,"[None, 77, 77, 64]",379456,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 64]",92416,0
conv2_block1_0_bn,BatchNormalization,"[None, 38, 38, 64]",92416,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 64]",92416,256
conv2_block1_0_relu,Activation,"[None, 38, 38, 64]",92416,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 64]",92416,0
conv2_block1_1_conv,Conv2D,"[None, 38, 38, 64]",92416,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,8192
conv2_block1_1_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block1_1_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block1_2_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,32,"[3, 3]",linear,False,"[None, 38, 38, 32]",46208,36864
conv2_block1_concat,Concatenate,"[None, 38, 38, 32]",46208,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 96]",138624,0
conv2_block2_0_bn,BatchNormalization,"[None, 38, 38, 96]",138624,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 96]",138624,384
conv2_block2_0_relu,Activation,"[None, 38, 38, 96]",138624,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 96]",138624,0
conv2_block2_1_conv,Conv2D,"[None, 38, 38, 96]",138624,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,12288
conv2_block2_1_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block2_1_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block2_2_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,32,"[3, 3]",linear,False,"[None, 38, 38, 32]",46208,36864
conv2_block2_concat,Concatenate,"[None, 38, 38, 32]",46208,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,0
conv2_block3_0_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block3_0_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block3_1_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,16384
conv2_block3_1_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block3_1_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block3_2_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,32,"[3, 3]",linear,False,"[None, 38, 38, 32]",46208,36864
conv2_block3_concat,Concatenate,"[None, 38, 38, 32]",46208,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 160]",231040,0
conv2_block4_0_bn,BatchNormalization,"[None, 38, 38, 160]",231040,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 160]",231040,640
conv2_block4_0_relu,Activation,"[None, 38, 38, 160]",231040,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 160]",231040,0
conv2_block4_1_conv,Conv2D,"[None, 38, 38, 160]",231040,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,20480
conv2_block4_1_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block4_1_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block4_2_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,32,"[3, 3]",linear,False,"[None, 38, 38, 32]",46208,36864
conv2_block4_concat,Concatenate,"[None, 38, 38, 32]",46208,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 192]",277248,0
conv2_block5_0_bn,BatchNormalization,"[None, 38, 38, 192]",277248,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 192]",277248,768
conv2_block5_0_relu,Activation,"[None, 38, 38, 192]",277248,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 192]",277248,0
conv2_block5_1_conv,Conv2D,"[None, 38, 38, 192]",277248,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,24576
conv2_block5_1_bn,BatchNormalization,"[None, 38, 38, 128]",184832,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 128]",184832,512
conv2_block5_1_relu,Activation,"[None, 38, 38, 128]",184832,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 128]",184832,0
conv2_block5_2_conv,Conv2D,"[None, 38, 38, 128]",184832,float32,32,"[3, 3]",linear,False,"[None, 38, 38, 32]",46208,36864
conv2_block5_concat,Concatenate,"[None, 38, 38, 32]",46208,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 224]",323456,0
conv2_block6_0_bn,BatchNormalization,"[None, 38, 38, 224]",323456,float32,NaN,NaN,NaN,NaN,"[None, 38, 38, 224]",323456,896
conv2_block6_0_relu,Activation,"[None, 38, 38, 224]",323456,float32,NaN,NaN,relu,NaN,"[None, 38, 38, 224]",323456,0
conv2_block6_1_conv,Conv2D,"[None, 38, 38, 224]",323456,float32,128,"[1, 1]",linear,False,"[None, 38, 38, 128]",184832,28672
