layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 90, 90, 3]",24300,float32,NaN,NaN,NaN,NaN,"[None, 90, 90, 3]",24300,0
conv1_pad,ZeroPadding2D,"[None, 90, 90, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 91, 91, 3]",24843,0
conv1,Conv2D,"[None, 91, 91, 3]",24843,float32,32,"[3, 3]",linear,False,"[None, 45, 45, 32]",64800,864
conv1_bn,BatchNormalization,"[None, 45, 45, 32]",64800,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 32]",64800,128
conv1_relu,ReLU,"[None, 45, 45, 32]",64800,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 32]",64800,0
conv_dw_1,DepthwiseConv2D,"[None, 45, 45, 32]",64800,float32,NaN,"[3, 3]",linear,False,"[None, 45, 45, 32]",64800,288
conv_dw_1_bn,BatchNormalization,"[None, 45, 45, 32]",64800,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 32]",64800,128
conv_dw_1_relu,ReLU,"[None, 45, 45, 32]",64800,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 32]",64800,0
conv_pw_1,Conv2D,"[None, 45, 45, 32]",64800,float32,64,"[1, 1]",linear,False,"[None, 45, 45, 64]",129600,2048
conv_pw_1_bn,BatchNormalization,"[None, 45, 45, 64]",129600,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 64]",129600,256
conv_pw_1_relu,ReLU,"[None, 45, 45, 64]",129600,float32,NaN,NaN,NaN,NaN,"[None, 45, 45, 64]",129600,0
conv_pad_2,ZeroPadding2D,"[None, 45, 45, 64]",129600,float32,NaN,NaN,NaN,NaN,"[None, 46, 46, 64]",135424,0
conv_dw_2,DepthwiseConv2D,"[None, 46, 46, 64]",135424,float32,NaN,"[3, 3]",linear,False,"[None, 22, 22, 64]",30976,576
conv_dw_2_bn,BatchNormalization,"[None, 22, 22, 64]",30976,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 64]",30976,256
conv_dw_2_relu,ReLU,"[None, 22, 22, 64]",30976,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 64]",30976,0
conv_pw_2,Conv2D,"[None, 22, 22, 64]",30976,float32,128,"[1, 1]",linear,False,"[None, 22, 22, 128]",61952,8192
conv_pw_2_bn,BatchNormalization,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,512
conv_pw_2_relu,ReLU,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,0
conv_dw_3,DepthwiseConv2D,"[None, 22, 22, 128]",61952,float32,NaN,"[3, 3]",linear,False,"[None, 22, 22, 128]",61952,1152
conv_dw_3_bn,BatchNormalization,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,512
conv_dw_3_relu,ReLU,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,0
conv_pw_3,Conv2D,"[None, 22, 22, 128]",61952,float32,128,"[1, 1]",linear,False,"[None, 22, 22, 128]",61952,16384
conv_pw_3_bn,BatchNormalization,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,512
conv_pw_3_relu,ReLU,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 22, 22, 128]",61952,0
conv_pad_4,ZeroPadding2D,"[None, 22, 22, 128]",61952,float32,NaN,NaN,NaN,NaN,"[None, 23, 23, 128]",67712,0
conv_dw_4,DepthwiseConv2D,"[None, 23, 23, 128]",67712,float32,NaN,"[3, 3]",linear,False,"[None, 11, 11, 128]",15488,1152
conv_dw_4_bn,BatchNormalization,"[None, 11, 11, 128]",15488,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 128]",15488,512
conv_dw_4_relu,ReLU,"[None, 11, 11, 128]",15488,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 128]",15488,0
conv_pw_4,Conv2D,"[None, 11, 11, 128]",15488,float32,256,"[1, 1]",linear,False,"[None, 11, 11, 256]",30976,32768
conv_pw_4_bn,BatchNormalization,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,1024
conv_pw_4_relu,ReLU,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,0
conv_dw_5,DepthwiseConv2D,"[None, 11, 11, 256]",30976,float32,NaN,"[3, 3]",linear,False,"[None, 11, 11, 256]",30976,2304
conv_dw_5_bn,BatchNormalization,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,1024
conv_dw_5_relu,ReLU,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,0
conv_pw_5,Conv2D,"[None, 11, 11, 256]",30976,float32,256,"[1, 1]",linear,False,"[None, 11, 11, 256]",30976,65536
conv_pw_5_bn,BatchNormalization,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,1024
conv_pw_5_relu,ReLU,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 11, 11, 256]",30976,0
conv_pad_6,ZeroPadding2D,"[None, 11, 11, 256]",30976,float32,NaN,NaN,NaN,NaN,"[None, 12, 12, 256]",36864,0
