Model_name,Input_shape,nb_layers,nb_conv,nb_bn,nb_fc,nb_pooling,sum_activations,weighted_sum_neurons,fc_multiply,params_conv,params_bn,params_fc,flatten,avg_pooling
DenseNet-161,"(1, 1200, 1200, 3)",566,160,161,1,4,2615116744,221369518080,4138147488000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 1600, 1600, 3)",566,160,161,1,4,4658260000,394168320000,13800000000000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 1792, 1792, 3)",566,160,161,1,4,5843321344,494444740608,21714567168000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 2400, 2400, 3)",566,160,161,1,4,10481085000,886878720000,69862500000000,26252064,439872,2209000,0,0
DenseNet-169,"(1, 32, 32, 3)",597,168,169,1,4,1233876,68534272,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 56, 56, 3)",597,168,169,1,4,3210484,181349376,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 64, 64, 3)",597,168,169,1,4,4915924,274137088,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 75, 75, 3)",597,168,169,1,4,5964246,334052096,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 112, 112, 3)",597,168,169,1,4,14621076,820588544,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 128, 128, 3)",597,168,169,1,4,19633620,1096548352,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 150, 150, 3)",597,168,169,1,4,25969796,1459625664,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 224, 224, 3)",597,168,169,1,4,60094164,3358179328,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 240, 240, 3)",597,168,169,1,4,68059028,3812765696,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 256, 256, 3)",597,168,169,1,4,78483412,4386193408,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 299, 299, 3)",597,168,169,1,4,103749206,5804583680,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 320, 320, 3)",597,168,169,1,4,122615508,6853427200,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 331, 331, 3)",597,168,169,1,4,127523286,7134362368,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 448, 448, 3)",597,168,169,1,4,240294100,13432717312,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 480, 480, 3)",597,168,169,1,4,275841748,15420211200,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 568, 568, 3)",597,168,169,1,4,379745524,21261528064,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 600, 600, 3)",597,168,169,1,4,424114164,23744121856,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 800, 800, 3)",597,168,169,1,4,766134228,42833920000,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 896, 896, 3)",597,168,169,1,4,961020372,53730869248,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 1024, 1024, 3)",597,168,169,1,4,1255185364,70179094528,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 1200, 1200, 3)",597,168,169,1,4,1718955668,96159051776,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 1600, 1600, 3)",597,168,169,1,4,3064265428,171335680000,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 1792, 1792, 3)",597,168,169,1,4,3843778516,214923476992,1664000,12326080,316800,1665000,0,1
DenseNet-169,"(1, 2400, 2400, 3)",597,168,169,1,4,6894396628,385505280000,1664000,12326080,316800,1665000,0,1
DenseNet-201,"(1, 32, 32, 3)",709,200,201,1,4,1585108,87539712,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 56, 56, 3)",709,200,201,1,4,3968756,222800896,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 64, 64, 3)",709,200,201,1,4,6320084,350158848,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 75, 75, 3)",709,200,201,1,4,7368406,410073856,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 112, 112, 3)",709,200,201,1,4,18838420,1049997312,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 128, 128, 3)",709,200,201,1,4,25249492,1400635392,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 150, 150, 3)",709,200,201,1,4,32969604,1840029376,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 224, 224, 3)",709,200,201,1,4,77292244,4289445888,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 240, 240, 3)",709,200,201,1,4,87617940,4874219520,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 256, 256, 3)",709,200,201,1,4,100946132,5602541568,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 299, 299, 3)",709,200,201,1,4,132178518,7344024320,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 320, 320, 3)",709,200,201,1,4,157713364,8753971200,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 331, 331, 3)",709,200,201,1,4,162621142,9034906368,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 448, 448, 3)",709,200,201,1,4,309085652,17157783552,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 480, 480, 3)",709,200,201,1,4,354811604,19696435200,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 568, 568, 3)",709,200,201,1,4,486794996,27063856128,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 600, 600, 3)",709,200,201,1,4,543773428,30229597184,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 800, 800, 3)",709,200,201,1,4,985494484,54712320000,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 896, 896, 3)",709,200,201,1,4,1236185812,68631134208,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 1024, 1024, 3)",709,200,201,1,4,1614585044,89640665088,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 1200, 1200, 3)",709,200,201,1,4,2211571860,122846392320,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 1600, 1600, 3)",709,200,201,1,4,3941705684,218849280000,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 1792, 1792, 3)",709,200,201,1,4,4944439508,274524536832,1920000,17863872,458112,1921000,0,1
DenseNet-201,"(1, 2400, 2400, 3)",709,200,201,1,4,8868636884,492410880000,1920000,17863872,458112,1921000,0,1
DenseNet-264,"(1, 32, 32, 3)",930,264,265,1,4,2131560,117325824,2688000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 56, 56, 3)",930,264,265,1,4,5001064,281586688,2688000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 64, 64, 3)",930,264,265,1,4,8526240,469303296,43008000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 75, 75, 3)",930,264,265,1,4,9541163,529218304,43008000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 112, 112, 3)",930,264,265,1,4,25126184,1393471488,217728000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 128, 128, 3)",930,264,265,1,4,34104960,1877213184,688128000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 150, 150, 3)",930,264,265,1,4,43506988,2415206080,688128000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 224, 224, 3)",930,264,265,1,4,104446440,5748965376,6453888000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 240, 240, 3)",930,264,265,1,4,117701992,6501937152,6453888000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 256, 256, 3)",930,264,265,1,4,136419840,7508852736,11010048000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 299, 299, 3)",930,264,265,1,4,176947507,9756699392,17635968000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 320, 320, 3)",930,264,265,1,4,213156000,11732582400,26880000000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 331, 331, 3)",930,264,265,1,4,217915179,12013517568,26880000000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 448, 448, 3)",930,264,265,1,4,417785760,22995861504,103262208000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 480, 480, 3)",930,264,265,1,4,479601000,26398310400,136080000000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 568, 568, 3)",930,264,265,1,4,653894760,36072238080,224504448000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 600, 600, 3)",930,264,265,1,4,730687136,40303692800,282175488000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 800, 800, 3)",930,264,265,1,4,1332225000,73328640000,1050000000000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 896, 896, 3)",930,264,265,1,4,1671143040,91983446016,1652195328000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 1024, 1024, 3)",930,264,265,1,4,2182717440,120141643776,2818572288000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 1200, 1200, 3)",930,264,265,1,4,2986211752,164487770112,5037744768000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 1600, 1600, 3)",930,264,265,1,4,5328900000,293314560000,16800000000000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 1792, 1792, 3)",930,264,265,1,4,6684572160,367933784064,26435125248000,30250176,797056,2689000,0,0
DenseNet-264,"(1, 2400, 2400, 3)",930,264,265,1,4,11990025000,659957760000,85050000000000,30250176,797056,2689000,0,0
DPN-92,"(1, 32, 32, 3)",2370,1025,95,1,1,1923176,141627904,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 56, 56, 3)",2370,1025,95,1,1,6692648,525195136,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 64, 64, 3)",2370,1025,95,1,1,7657448,566511616,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 75, 75, 3)",2370,1025,95,1,1,11738099,911897824,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 112, 112, 3)",2370,1025,95,1,1,23674376,1789154944,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 128, 128, 3)",2370,1025,95,1,1,30594536,2266046464,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 150, 150, 3)",2370,1025,95,1,1,45258068,3431854144,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 224, 224, 3)",2370,1025,95,1,1,93671528,6939767296,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 240, 240, 3)",2370,1025,95,1,1,108041224,8078610048,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 256, 256, 3)",2370,1025,95,1,1,122342888,9064185856,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 299, 299, 3)",2370,1025,95,1,1,171606451,12872411872,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 320, 320, 3)",2370,1025,95,1,1,191154152,14162790400,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 331, 331, 3)",2370,1025,95,1,1,209736179,15714079968,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 448, 448, 3)",2370,1025,95,1,1,374650856,27759069184,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 480, 480, 3)",2370,1025,95,1,1,430082152,31866278400,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 568, 568, 3)",2370,1025,95,1,1,610115368,45493557120,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 600, 600, 3)",2370,1025,95,1,1,680323496,50711754112,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 800, 800, 3)",2370,1025,95,1,1,1194651752,88517440000,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 896, 896, 3)",2370,1025,95,1,1,1498568168,111036276736,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 1024, 1024, 3)",2370,1025,95,1,1,1957309928,145026973696,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 1200, 1200, 3)",2370,1025,95,1,1,2690445064,199709985408,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 1600, 1600, 3)",2370,1025,95,1,1,4778571752,354069760000,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 1792, 1792, 3)",2370,1025,95,1,1,5994237416,444145106944,2688000,34854176,227456,2688000,0,1
DPN-92,"(1, 2400, 2400, 3)",2370,1025,95,1,1,10751771752,796656960000,2688000,34854176,227456,2688000,0,1
Inception-v1,"(1, 224, 224, 3)",199,58,57,0,14,12487115,1865841152,0,6611369,21840,0,1,0
Inception-v1,"(1, 240, 240, 3)",199,58,57,0,14,14436028,2173878656,0,6611369,21840,0,1,0
Inception-v1,"(1, 256, 256, 3)",199,58,57,0,14,16323308,2439778304,0,6611369,21840,0,1,0
Inception-v1,"(1, 299, 299, 3)",199,58,57,0,14,22929451,3464628352,0,6611369,21840,0,1,0
Inception-v1,"(1, 320, 320, 3)",199,58,57,0,14,25554416,3822147584,0,6611369,21840,0,1,0
Inception-v1,"(1, 331, 331, 3)",199,58,57,0,14,28054286,4236313728,0,6611369,21840,0,1,0
Inception-v1,"(1, 448, 448, 3)",199,58,57,0,14,50251520,7524866048,0,6611369,21840,0,1,0
Inception-v1,"(1, 480, 480, 3)",199,58,57,0,14,57724731,8645958144,0,6611369,21840,0,1,0
Inception-v1,"(1, 568, 568, 3)",199,58,57,0,14,81689952,12304336384,0,6611369,21840,0,1,0
Inception-v1,"(1, 600, 600, 3)",199,58,57,0,14,91153523,13728360448,0,6611369,21840,0,1,0
Inception-v1,"(1, 800, 800, 3)",199,58,57,0,14,161033411,24155953664,0,6611369,21840,0,1,0
Inception-v1,"(1, 896, 896, 3)",199,58,57,0,14,202157708,30333169664,0,6611369,21840,0,1,0
Inception-v1,"(1, 1024, 1024, 3)",199,58,57,0,14,264264140,39663767552,0,6611369,21840,0,1,0
Inception-v1,"(1, 1200, 1200, 3)",199,58,57,0,14,363818128,54709425536,0,6611369,21840,0,1,0
Inception-v1,"(1, 1600, 1600, 3)",199,58,57,0,14,646618736,97128126464,0,6611369,21840,0,1,0
Inception-v1,"(1, 1792, 1792, 3)",199,58,57,0,14,811479596,121910792192,0,6611369,21840,0,1,0
Inception-v1,"(1, 2400, 2400, 3)",199,58,57,0,14,1456937811,218953419264,0,6611369,21840,0,1,0
Inception-v3,"(1, 75, 75, 3)",313,94,94,1,13,1364179,315629152,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 112, 112, 3)",313,94,94,1,13,3403576,855827296,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 128, 128, 3)",313,94,94,1,13,4621944,1189940576,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 150, 150, 3)",313,94,94,1,13,6635844,1691724160,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 224, 224, 3)",313,94,94,1,13,16735608,4684503392,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 240, 240, 3)",313,94,94,1,13,19689784,5566067552,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 256, 256, 3)",313,94,94,1,13,22468728,6366109024,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 299, 299, 3)",313,94,94,1,13,32554387,9434034784,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 320, 320, 3)",313,94,94,1,13,36477816,10504447328,2048000,21751136,51648,2049000,0,1
