layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 32, 32, 3]",3072,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 3]",3072,0
conv1,Conv2D,"[None, 32, 32, 3]",1,float32,12,"[3, 3]",relu,False,"[None, 16, 16, 12]",3072,324
maxpool1,MaxPooling2D,"[None, 16, 16, 12]",3072,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 12]",768,0
stage2/block1/1x1conv_1,Conv2D,"[None, 8, 8, 12]",768,float32,58,"[1, 1]",linear,True,"[None, 8, 8, 58]",3712,754
stage2/block1/bn_1x1conv_1,BatchNormalization,"[None, 8, 8, 58]",3712,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 58]",3712,232
stage2/block1/relu_1x1conv_1,Activation,"[None, 8, 8, 58]",3712,float32,NaN,NaN,relu,NaN,"[None, 8, 8, 58]",3712,0
stage2/block1/3x3dwconv,DepthwiseConv2D,"[None, 8, 8, 58]",3712,float32,NaN,"[3, 3]",linear,True,"[None, 4, 4, 58]",928,580
stage2/block1/3x3dwconv_2,DepthwiseConv2D,"[None, 4, 4, 58]",928,float32,NaN,"[3, 3]",linear,True,"[None, 4, 4, 12]",192,120
stage2/block1/bn_3x3dwconv,BatchNormalization,"[None, 4, 4, 12]",192,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 58]",928,232
stage2/block1/bn_3x3dwconv_2,BatchNormalization,"[None, 4, 4, 58]",928,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 12]",192,48
stage2/block1/1x1conv_2,Conv2D,"[None, 4, 4, 12]",192,float32,58,"[1, 1]",linear,True,"[None, 4, 4, 58]",928,3422
stage2/block1/1x1_conv_3,Conv2D,"[None, 4, 4, 58]",928,float32,58,"[1, 1]",linear,True,"[None, 4, 4, 58]",928,754
stage2/block1/bn_1x1conv_2,BatchNormalization,"[None, 4, 4, 58]",928,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 58]",928,232
