layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1200, 1200, 3]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 1200, 1200, 3]",4320000,0
zero_padding2d_1,ZeroPadding2D,"[None, 1200, 1200, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 1206, 1206, 3]",4363308,0
conv1/conv,Conv2D,"[None, 1206, 1206, 3]",4363308,float32,64,"[7, 7]",linear,False,"[None, 600, 600, 64]",23040000,9408
conv1/bn,BatchNormalization,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,NaN,NaN,"[None, 600, 600, 64]",23040000,256
conv1/relu,Activation,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,relu,NaN,"[None, 600, 600, 64]",23040000,0
zero_padding2d_2,ZeroPadding2D,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,NaN,NaN,"[None, 602, 602, 64]",23193856,0
pool1,MaxPooling2D,"[None, 602, 602, 64]",23193856,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,0
conv2_block1_0_bn,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
conv2_block1_0_relu,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
conv2_block1_1_conv,Conv2D,"[None, 300, 300, 64]",5760000,float32,128,"[1, 1]",linear,False,"[None, 300, 300, 128]",11520000,8192
conv2_block1_1_bn,BatchNormalization,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 128]",11520000,512
conv2_block1_1_relu,Activation,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 128]",11520000,0
conv2_block1_2_conv,Conv2D,"[None, 300, 300, 128]",11520000,float32,32,"[3, 3]",linear,False,"[None, 300, 300, 32]",2880000,36864
conv2_block1_concat,Concatenate,"[None, 300, 300, 32]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 96]",8640000,0
conv2_block2_0_bn,BatchNormalization,"[None, 300, 300, 96]",8640000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 96]",8640000,384
conv2_block2_0_relu,Activation,"[None, 300, 300, 96]",8640000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 96]",8640000,0
conv2_block2_1_conv,Conv2D,"[None, 300, 300, 96]",8640000,float32,128,"[1, 1]",linear,False,"[None, 300, 300, 128]",11520000,12288
conv2_block2_1_bn,BatchNormalization,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 128]",11520000,512
conv2_block2_1_relu,Activation,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 128]",11520000,0
conv2_block2_2_conv,Conv2D,"[None, 300, 300, 128]",11520000,float32,32,"[3, 3]",linear,False,"[None, 300, 300, 32]",2880000,36864
conv2_block2_concat,Concatenate,"[None, 300, 300, 32]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 128]",11520000,0
conv2_block3_0_bn,BatchNormalization,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 128]",11520000,512
conv2_block3_0_relu,Activation,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 128]",11520000,0
conv2_block3_1_conv,Conv2D,"[None, 300, 300, 128]",11520000,float32,128,"[1, 1]",linear,False,"[None, 300, 300, 128]",11520000,16384
conv2_block3_1_bn,BatchNormalization,"[None, 300, 300, 128]",11520000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 128]",11520000,512
