layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1600, 1600, 3]",7680000,float32,NaN,NaN,NaN,NaN,"[None, 1600, 1600, 3]",7680000,0
zero_padding2d_1,ZeroPadding2D,"[None, 1600, 1600, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 1606, 1606, 3]",7737708,0
conv1/conv,Conv2D,"[None, 1606, 1606, 3]",7737708,float32,64,"[7, 7]",linear,False,"[None, 800, 800, 64]",40960000,9408
conv1/bn,BatchNormalization,"[None, 800, 800, 64]",40960000,float32,NaN,NaN,NaN,NaN,"[None, 800, 800, 64]",40960000,256
conv1/relu,Activation,"[None, 800, 800, 64]",40960000,float32,NaN,NaN,relu,NaN,"[None, 800, 800, 64]",40960000,0
zero_padding2d_2,ZeroPadding2D,"[None, 800, 800, 64]",40960000,float32,NaN,NaN,NaN,NaN,"[None, 802, 802, 64]",41165056,0
pool1,MaxPooling2D,"[None, 802, 802, 64]",41165056,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 64]",10240000,0
conv2_block1_0_bn,BatchNormalization,"[None, 400, 400, 64]",10240000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 64]",10240000,256
conv2_block1_0_relu,Activation,"[None, 400, 400, 64]",10240000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 64]",10240000,0
conv2_block1_1_conv,Conv2D,"[None, 400, 400, 64]",10240000,float32,128,"[1, 1]",linear,False,"[None, 400, 400, 128]",20480000,8192
conv2_block1_1_bn,BatchNormalization,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,512
conv2_block1_1_relu,Activation,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block1_2_conv,Conv2D,"[None, 400, 400, 128]",20480000,float32,32,"[3, 3]",linear,False,"[None, 400, 400, 32]",5120000,36864
conv2_block1_concat,Concatenate,"[None, 400, 400, 32]",5120000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 96]",15360000,0
conv2_block2_0_bn,BatchNormalization,"[None, 400, 400, 96]",15360000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 96]",15360000,384
conv2_block2_0_relu,Activation,"[None, 400, 400, 96]",15360000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 96]",15360000,0
conv2_block2_1_conv,Conv2D,"[None, 400, 400, 96]",15360000,float32,128,"[1, 1]",linear,False,"[None, 400, 400, 128]",20480000,12288
conv2_block2_1_bn,BatchNormalization,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,512
conv2_block2_1_relu,Activation,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block2_2_conv,Conv2D,"[None, 400, 400, 128]",20480000,float32,32,"[3, 3]",linear,False,"[None, 400, 400, 32]",5120000,36864
conv2_block2_concat,Concatenate,"[None, 400, 400, 32]",5120000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block3_0_bn,BatchNormalization,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,512
conv2_block3_0_relu,Activation,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block3_1_conv,Conv2D,"[None, 400, 400, 128]",20480000,float32,128,"[1, 1]",linear,False,"[None, 400, 400, 128]",20480000,16384
conv2_block3_1_bn,BatchNormalization,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,512
conv2_block3_1_relu,Activation,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block3_2_conv,Conv2D,"[None, 400, 400, 128]",20480000,float32,32,"[3, 3]",linear,False,"[None, 400, 400, 32]",5120000,36864
conv2_block3_concat,Concatenate,"[None, 400, 400, 32]",5120000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 160]",25600000,0
conv2_block4_0_bn,BatchNormalization,"[None, 400, 400, 160]",25600000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 160]",25600000,640
conv2_block4_0_relu,Activation,"[None, 400, 400, 160]",25600000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 160]",25600000,0
conv2_block4_1_conv,Conv2D,"[None, 400, 400, 160]",25600000,float32,128,"[1, 1]",linear,False,"[None, 400, 400, 128]",20480000,20480
conv2_block4_1_bn,BatchNormalization,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 128]",20480000,512
conv2_block4_1_relu,Activation,"[None, 400, 400, 128]",20480000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 128]",20480000,0
conv2_block4_2_conv,Conv2D,"[None, 400, 400, 128]",20480000,float32,32,"[3, 3]",linear,False,"[None, 400, 400, 32]",5120000,36864
conv2_block4_concat,Concatenate,"[None, 400, 400, 32]",5120000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 192]",30720000,0
conv2_block5_0_bn,BatchNormalization,"[None, 400, 400, 192]",30720000,float32,NaN,NaN,NaN,NaN,"[None, 400, 400, 192]",30720000,768
conv2_block5_0_relu,Activation,"[None, 400, 400, 192]",30720000,float32,NaN,NaN,relu,NaN,"[None, 400, 400, 192]",30720000,0
