layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 90, 90, 3]",24300,float32,NaN,NaN,NaN,NaN,"[None, 90, 90, 3]",24300,0
conv1,Conv2D,"[None, 90, 90, 3]",1,float32,64,"[3, 3]",linear,True,"[None, 44, 44, 64]",123904,1792
relu_conv1,Activation,"[None, 44, 44, 64]",123904,float32,NaN,NaN,relu,NaN,"[None, 44, 44, 64]",123904,0
pool1,MaxPooling2D,"[None, 44, 44, 64]",123904,float32,NaN,NaN,NaN,NaN,"[None, 21, 21, 64]",28224,0
fire2/squeeze1x1,Conv2D,"[None, 21, 21, 64]",28224,float32,16,"[1, 1]",linear,True,"[None, 21, 21, 16]",7056,1040
fire2/relu_squeeze1x1,Activation,"[None, 21, 21, 16]",7056,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 16]",7056,0
fire2/expand1x1,Conv2D,"[None, 21, 21, 16]",7056,float32,64,"[1, 1]",linear,True,"[None, 21, 21, 64]",28224,1088
fire2/expand3x3,Conv2D,"[None, 21, 21, 64]",28224,float32,64,"[3, 3]",linear,True,"[None, 21, 21, 64]",28224,9280
fire2/relu_expand1x1,Activation,"[None, 21, 21, 64]",28224,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 64]",28224,0
fire2/relu_expand3x3,Activation,"[None, 21, 21, 64]",28224,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 64]",28224,0
fire2/concat,Concatenate,"[None, 21, 21, 64]",28224,float32,NaN,NaN,NaN,NaN,"[None, 21, 21, 128]",56448,0
fire3/squeeze1x1,Conv2D,"[None, 21, 21, 128]",56448,float32,16,"[1, 1]",linear,True,"[None, 21, 21, 16]",7056,2064
fire3/relu_squeeze1x1,Activation,"[None, 21, 21, 16]",7056,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 16]",7056,0
fire3/expand1x1,Conv2D,"[None, 21, 21, 16]",7056,float32,64,"[1, 1]",linear,True,"[None, 21, 21, 64]",28224,1088
fire3/expand3x3,Conv2D,"[None, 21, 21, 64]",28224,float32,64,"[3, 3]",linear,True,"[None, 21, 21, 64]",28224,9280
fire3/relu_expand1x1,Activation,"[None, 21, 21, 64]",28224,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 64]",28224,0
fire3/relu_expand3x3,Activation,"[None, 21, 21, 64]",28224,float32,NaN,NaN,relu,NaN,"[None, 21, 21, 64]",28224,0
fire3/concat,Concatenate,"[None, 21, 21, 64]",28224,float32,NaN,NaN,NaN,NaN,"[None, 21, 21, 128]",56448,0
pool3,MaxPooling2D,"[None, 21, 21, 128]",56448,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 128]",12800,0
fire4/squeeze1x1,Conv2D,"[None, 10, 10, 128]",12800,float32,32,"[1, 1]",linear,True,"[None, 10, 10, 32]",3200,4128
fire4/relu_squeeze1x1,Activation,"[None, 10, 10, 32]",3200,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 32]",3200,0
fire4/expand1x1,Conv2D,"[None, 10, 10, 32]",3200,float32,128,"[1, 1]",linear,True,"[None, 10, 10, 128]",12800,4224
fire4/expand3x3,Conv2D,"[None, 10, 10, 128]",12800,float32,128,"[3, 3]",linear,True,"[None, 10, 10, 128]",12800,36992
fire4/relu_expand1x1,Activation,"[None, 10, 10, 128]",12800,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 128]",12800,0
fire4/relu_expand3x3,Activation,"[None, 10, 10, 128]",12800,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 128]",12800,0
fire4/concat,Concatenate,"[None, 10, 10, 128]",12800,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 256]",25600,0
fire5/squeeze1x1,Conv2D,"[None, 10, 10, 256]",25600,float32,32,"[1, 1]",linear,True,"[None, 10, 10, 32]",3200,8224
fire5/relu_squeeze1x1,Activation,"[None, 10, 10, 32]",3200,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 32]",3200,0
fire5/expand1x1,Conv2D,"[None, 10, 10, 32]",3200,float32,128,"[1, 1]",linear,True,"[None, 10, 10, 128]",12800,4224
fire5/expand3x3,Conv2D,"[None, 10, 10, 128]",12800,float32,128,"[3, 3]",linear,True,"[None, 10, 10, 128]",12800,36992
fire5/relu_expand1x1,Activation,"[None, 10, 10, 128]",12800,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 128]",12800,0
fire5/relu_expand3x3,Activation,"[None, 10, 10, 128]",12800,float32,NaN,NaN,relu,NaN,"[None, 10, 10, 128]",12800,0
fire5/concat,Concatenate,"[None, 10, 10, 128]",12800,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 256]",25600,0
pool5,MaxPooling2D,"[None, 10, 10, 256]",25600,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 256]",4096,0
fire6/squeeze1x1,Conv2D,"[None, 4, 4, 256]",4096,float32,48,"[1, 1]",linear,True,"[None, 4, 4, 48]",768,12336
fire6/relu_squeeze1x1,Activation,"[None, 4, 4, 48]",768,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 48]",768,0
fire6/expand1x1,Conv2D,"[None, 4, 4, 48]",768,float32,192,"[1, 1]",linear,True,"[None, 4, 4, 192]",3072,9408
fire6/expand3x3,Conv2D,"[None, 4, 4, 192]",3072,float32,192,"[3, 3]",linear,True,"[None, 4, 4, 192]",3072,83136
fire6/relu_expand1x1,Activation,"[None, 4, 4, 192]",3072,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 192]",3072,0
fire6/relu_expand3x3,Activation,"[None, 4, 4, 192]",3072,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 192]",3072,0
fire6/concat,Concatenate,"[None, 4, 4, 192]",3072,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 384]",6144,0
fire7/squeeze1x1,Conv2D,"[None, 4, 4, 384]",6144,float32,48,"[1, 1]",linear,True,"[None, 4, 4, 48]",768,18480
fire7/relu_squeeze1x1,Activation,"[None, 4, 4, 48]",768,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 48]",768,0
fire7/expand1x1,Conv2D,"[None, 4, 4, 48]",768,float32,192,"[1, 1]",linear,True,"[None, 4, 4, 192]",3072,9408
fire7/expand3x3,Conv2D,"[None, 4, 4, 192]",3072,float32,192,"[3, 3]",linear,True,"[None, 4, 4, 192]",3072,83136
fire7/relu_expand1x1,Activation,"[None, 4, 4, 192]",3072,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 192]",3072,0
fire7/relu_expand3x3,Activation,"[None, 4, 4, 192]",3072,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 192]",3072,0
fire7/concat,Concatenate,"[None, 4, 4, 192]",3072,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 384]",6144,0
fire8/squeeze1x1,Conv2D,"[None, 4, 4, 384]",6144,float32,64,"[1, 1]",linear,True,"[None, 4, 4, 64]",1024,24640
fire8/relu_squeeze1x1,Activation,"[None, 4, 4, 64]",1024,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 64]",1024,0
fire8/expand1x1,Conv2D,"[None, 4, 4, 64]",1024,float32,256,"[1, 1]",linear,True,"[None, 4, 4, 256]",4096,16640
fire8/expand3x3,Conv2D,"[None, 4, 4, 256]",4096,float32,256,"[3, 3]",linear,True,"[None, 4, 4, 256]",4096,147712
fire8/relu_expand1x1,Activation,"[None, 4, 4, 256]",4096,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 256]",4096,0
fire8/relu_expand3x3,Activation,"[None, 4, 4, 256]",4096,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 256]",4096,0
fire8/concat,Concatenate,"[None, 4, 4, 256]",4096,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 512]",8192,0
fire9/squeeze1x1,Conv2D,"[None, 4, 4, 512]",8192,float32,64,"[1, 1]",linear,True,"[None, 4, 4, 64]",1024,32832
fire9/relu_squeeze1x1,Activation,"[None, 4, 4, 64]",1024,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 64]",1024,0
fire9/expand1x1,Conv2D,"[None, 4, 4, 64]",1024,float32,256,"[1, 1]",linear,True,"[None, 4, 4, 256]",4096,16640
fire9/expand3x3,Conv2D,"[None, 4, 4, 256]",4096,float32,256,"[3, 3]",linear,True,"[None, 4, 4, 256]",4096,147712
fire9/relu_expand1x1,Activation,"[None, 4, 4, 256]",4096,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 256]",4096,0
fire9/relu_expand3x3,Activation,"[None, 4, 4, 256]",4096,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 256]",4096,0
fire9/concat,Concatenate,"[None, 4, 4, 256]",4096,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 512]",8192,0
drop9,Dropout,"[None, 4, 4, 512]",8192,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 512]",8192,0
conv10,Conv2D,"[None, 4, 4, 512]",8192,float32,1000,"[1, 1]",linear,True,"[None, 4, 4, 1000]",16000,513000
relu_conv10,Activation,"[None, 4, 4, 1000]",16000,float32,NaN,NaN,relu,NaN,"[None, 4, 4, 1000]",16000,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 4, 4, 1000]",16000,float32,NaN,NaN,NaN,NaN,"[None, 1000]",1000,0
loss,Activation,"[None, 1000]",1000,float32,NaN,NaN,softmax,NaN,"[None, 1000]",1000,0
