layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1024, 1024, 3]",3145728,float32,NaN,NaN,NaN,NaN,"[None, 1024, 1024, 3]",3145728,0
initial_conv2D,Conv2D,"[None, 1024, 1024, 3]",1,float32,64,"[7, 7]",linear,False,"[None, 512, 512, 64]",16777216,9408
initial_bn,BatchNormalization,"[None, 512, 512, 64]",16777216,float32,NaN,NaN,NaN,NaN,"[None, 512, 512, 64]",16777216,256
activation_1,Activation,"[None, 512, 512, 64]",16777216,float32,NaN,NaN,relu,NaN,"[None, 512, 512, 64]",16777216,0
max_pooling2d_1,MaxPooling2D,"[None, 512, 512, 64]",16777216,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 64]",4194304,0
dense_0_0_bn,BatchNormalization,"[None, 256, 256, 64]",4194304,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 64]",4194304,256
activation_2,Activation,"[None, 256, 256, 64]",4194304,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 64]",4194304,0
dense_0_0_bottleneck_conv2D,Conv2D,"[None, 256, 256, 64]",4194304,float32,128,"[1, 1]",linear,False,"[None, 256, 256, 128]",8388608,8192
dense_0_0_bottleneck_bn,BatchNormalization,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 128]",8388608,512
activation_3,Activation,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 128]",8388608,0
dense_0_0_conv2D,Conv2D,"[None, 256, 256, 128]",8388608,float32,32,"[3, 3]",linear,False,"[None, 256, 256, 32]",2097152,36864
concatenate_1,Concatenate,"[None, 256, 256, 32]",2097152,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 96]",6291456,0
dense_0_1_bn,BatchNormalization,"[None, 256, 256, 96]",6291456,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 96]",6291456,384
activation_4,Activation,"[None, 256, 256, 96]",6291456,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 96]",6291456,0
dense_0_1_bottleneck_conv2D,Conv2D,"[None, 256, 256, 96]",6291456,float32,128,"[1, 1]",linear,False,"[None, 256, 256, 128]",8388608,12288
dense_0_1_bottleneck_bn,BatchNormalization,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 128]",8388608,512
activation_5,Activation,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 128]",8388608,0
dense_0_1_conv2D,Conv2D,"[None, 256, 256, 128]",8388608,float32,32,"[3, 3]",linear,False,"[None, 256, 256, 32]",2097152,36864
concatenate_2,Concatenate,"[None, 256, 256, 32]",2097152,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 128]",8388608,0
dense_0_2_bn,BatchNormalization,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 128]",8388608,512
activation_6,Activation,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 128]",8388608,0
dense_0_2_bottleneck_conv2D,Conv2D,"[None, 256, 256, 128]",8388608,float32,128,"[1, 1]",linear,False,"[None, 256, 256, 128]",8388608,16384
dense_0_2_bottleneck_bn,BatchNormalization,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 128]",8388608,512
activation_7,Activation,"[None, 256, 256, 128]",8388608,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 128]",8388608,0
dense_0_2_conv2D,Conv2D,"[None, 256, 256, 128]",8388608,float32,32,"[3, 3]",linear,False,"[None, 256, 256, 32]",2097152,36864
concatenate_3,Concatenate,"[None, 256, 256, 32]",2097152,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 160]",10485760,0
dense_0_3_bn,BatchNormalization,"[None, 256, 256, 160]",10485760,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 160]",10485760,640
